SL.   Gradients Vector from CNN--------------Gradients Vector from FiniteDifferencing
206.     -3.2723797688923345E-6                          -3.319566843629218E-6,  
207.     1.5068586666994483E-5                          1.5212275883413895E-5,  
208.     -2.795067513375517E-6                          -2.8754776337791554E-6,  
209.     -6.618525578159165E-7                          -6.616929226765933E-7,  
210.     -1.6770575435011117E-6                          -1.758593271006248E-6,  
211.     -1.7815749544180535E-6                          -1.836308882730009E-6,  
212.     -2.768616667321248E-6                          -2.799982468104645E-6,  
213.     -1.0732536943111452E-5                          -1.0886846979474285E-5,  
214.     3.093203806539419E-6                          3.1508129438861943E-6,  
215.     0.0                          0.0,  
216.     -6.832650562950016E-4                          -0.04011341481202635,  
217.     -9.888154634516335E-4                          -9.86268844371807E-4,  
218.     -0.002620687996371499                          -0.0026150970278138175,  
219.     6.276246261380576E-5                          6.006750652431947E-5,  
220.     -0.002084210572062482                          -0.002086497641329288,  
221.     -0.0012205643398789546                          -0.0012190382037147174,  
222.     5.124535352059584E-5                          4.888089932819639E-5,  
223.     0.001056996686673392                          0.0010605649691797225,  
224.     3.99091493519695E-4                          4.026601274631503E-4,  
225.     -0.002544209345492824                          -0.0025379676138470586,  
226.     -0.003217165745302536                          -0.003222759836774003,  
227.     -0.003992345090700755                          -0.004004261366929995,  
228.     -7.933788449288067E-4                          -7.925038403300277E-4,  
229.     -5.143638094543322E-4                          -5.126610247430108E-4,  
230.     -6.199258831912553E-4                          -6.226619220228713E-4,  
231.     1.669991093889863E-4                          1.5929479957321746E-4,  
232.     7.124429367916902E-4                          7.18161086155078E-4,  
233.     7.449299469479075E-4                          7.530043255599139E-4,  
234.     -0.0015019072131137526                          -0.0014982237672711562,  
235.     -0.004057152936082232                          -0.004067872705348918,  
236.     -0.0011034422934276273                          -0.0011032219582318703,  
237.     1.1079236107270088E-4                          1.0548673046173462E-4,  
238.     7.717153404097363E-4                          7.81941178473744E-4,  
239.     -2.3459001151350303E-4                          -2.351030481406724E-4,  
240.     1.0713853859463417E-4                          1.0219602941674566E-4,  
241.     -0.0011478768950509174                          -0.0011625567175599372,  
242.     8.641166968831522E-4                          8.718825661446772E-4,  
243.     -6.082893112689187E-4                          -6.067968350009778E-4,  
244.     -0.0013768084473796188                          -0.0013742829096941023,  
245.     -0.0021495492940378324                          -0.0021480461853684574,  
246.     -8.14782956865553E-4                          -8.139333651513425E-4,  
247.     -0.0031638184980426667                          -0.0031696023583549504,  
248.     -5.09191641158091E-4                          -5.089040300276793E-4,  
249.     4.6258102622367706E-5                          4.412470389070222E-5,  
250.     6.888582579021385E-5                          7.049250072554969E-5,  
251.     -3.2673556892972796E-4                          -3.319877706076113E-4,  
252.     0.0                          0.0,  
253.     -3.1201389984605714E-6                          2.682676303322751E-4,  
254.     9.271379969101156E-6                          9.341416529196067E-6,  
255.     5.510855470468924E-6                          5.635492072997295E-6,  
256.     -2.4281300813405854E-6                          -2.2892798767770728E-6,  
257.     3.2221683033673922E-6                          3.5083047578154947E-6,  
258.     -3.97664846778693E-6                          -3.981259766305811E-6,  
259.     -2.2234483622062054E-7                          -1.1768364061026659E-7,  
260.     3.120285047370819E-7                          4.285460875053104E-7,  
261.     -1.329738437264393E-6                          -9.703349235223868E-7,  
262.     -9.171788179791694E-6                          -9.101608355877033E-6,  
263.     1.4356689813834656E-5                          1.4577228313328305E-5,  
264.     2.1068567885079187E-5                          2.128297538206425E-5,  
265.     -8.897734053419536E-6                          -8.451017663446692E-6,  
266.     4.72649634135292E-6                          4.807265696626928E-6,  
267.     3.2151192841056445E-6                          3.2440716779547074E-6,  
268.     -3.4171662809673736E-6                          -3.028688411177427E-6,  
269.     7.929611318807765E-6                          8.1512574467979E-6,  
270.     9.332970200093881E-6                          9.563461134121098E-6,  
271.     -6.484714969566633E-6                          -6.177280909014371E-6,  
272.     -5.509801191188825E-6                          -5.218048215738236E-6,  
273.     1.251042735119689E-5                          1.2609913113692528E-5,  
274.     -5.304144468826859E-6                          -5.0182080713057076E-6,  
275.     8.79474159513544E-6                          9.194867089945546E-6,  
276.     5.1853940788994095E-6                          5.169198402654729E-6,  
277.     -5.337891400600652E-7                          -3.042011087472929E-7,  
278.     6.998582318043216E-6                          7.2519767968515225E-6,  
279.     6.330545008299237E-6                          6.4082072981364036E-6,  
280.     -2.658382630447338E-6                          -2.589040093425865E-6,  
281.     1.1829755117142715E-5                          1.2290168882600483E-5,  
282.     1.2586398890161803E-6                          1.3522516439934407E-6,  
283.     -2.1655235805837127E-6                          -2.042810365310288E-6,  
284.     8.533022149570387E-6                          8.593126210598712E-6,  
285.     2.9754402337728804E-6                          3.1863400806741993E-6,  
286.     -2.8191006812818317E-6                          -2.7267077484793845E-6,  
287.     -4.585927701385154E-6                          -4.409805853811122E-6,  
288.     8.013715061591258E-7                          1.050270981295398E-6,  
289.     0.0                          0.0,  
290.     1.6057480498711673E-5                          0.008724321265418666,  
291.     -7.396284281361668E-6                          -7.249756350802272E-6,  
292.     -2.7736169387622194E-6                          -2.7200464103316335E-6,  
293.     4.3955749926940114E-4                          4.25677271209679E-4,  
294.     2.9706579011025717E-4                          2.881295202428191E-4,  
295.     3.5144298754444816E-6                          3.603783937933258E-6,  
296.     3.4521145607806664E-4                          3.345301813340029E-4,  
297.     2.68772256990028E-4                          2.6095348104604454E-4,  
298.     5.27981431338514E-4                          5.105538214422722E-4,  
299.     3.899963525203662E-6                          3.941291737419306E-6,  
300.     -7.863331962736523E-6                          -7.711609129046337E-6,  
301.     -1.032785457327603E-5                          -1.0129674876679928E-5,  
302.     4.712807437000075E-4                          4.564459921141406E-4,  
303.     1.359831218709623E-4                          1.3238965479445142E-4,  
304.     2.7089987804016115E-4                          2.6217694681918147E-4,  
305.     8.204395051757319E-4                          7.945044622204023E-4,  
306.     8.006917654507025E-4                          7.744516139496227E-4,  
307.     1.281958805329957E-4                          1.2396306203754648E-4,  
308.     1.8753078392885694E-5                          1.8953727476400672E-5,  
309.     -1.0808005220901195E-6                          -1.0635936575909E-6,  
310.     -6.0967778878229405E-6                          -5.977440764581843E-6,  
311.     1.7007340981206934E-4                          1.6577628159097912E-4,  
312.     5.621099235096341E-4                          5.442846173764337E-4,  
313.     5.016487951405908E-4                          4.8518744577563666E-4,  
314.     8.009662535759867E-4                          7.754152875349973E-4,  
315.     5.28045998929957E-4                          5.113509615739531E-4,  
316.     6.165717702313034E-4                          5.962186300223493E-4,  
317.     1.7571234397955294E-6                          1.7719159473017498E-6,  
318.     3.3935690219902825E-6                          3.6282088444750116E-6,  
319.     -2.4692636069406137E-6                          -2.4225066397320916E-6,  
320.     3.253234057021975E-4                          3.1515234866219544E-4,  
321.     1.557949993356723E-4                          1.520761294671047E-4,  
322.     7.240329283483374E-4                          7.002398660915787E-4,  
323.     2.986596507868056E-4                          2.899636086794999E-4,  
324.     2.2604238034870842E-4                          2.188182968154706E-4,  
325.     6.681209620411402E-5                          6.499467630760591E-5,  
326.     0.0                          0.0,  
327.     -0.26247425056380597                          -0.27985559203358434,  
328.     -0.17894918965716183                          -0.16993662699249512,  
329.     1.8655312904759922                          1.8726495398802,  
330.     4.593084985579182E-5                          4.8971937616215655E-5,  
331.     3.2889557428496424E-5                          3.5067504455810194E-5,  
332.     4.353596139558831E-5                          4.6418424659577795E-5,  
333.     3.705771120511904E-5                          3.951061700036007E-5,  
334.     6.03703570807274E-6                          6.437073096776658E-6,  
335.     5.2341082431341835E-6                          5.579980921766037E-6,  
336.     8.029096651085061E-6                          8.559819519859957E-6,  
337.     7.388999805888254E-6                          7.87814258274011E-6,  
338.     9.909735886562842E-6                          1.056488230233299E-5,  
339.     1.3428876485973446E-5                          1.4317436125566019E-5,  
340.     1.5829091629361834E-5                          1.687761042035163E-5,  
341.     1.4016199757869626E-5                          1.4943601911454607E-5,  
342.     -0.0019606577262551274                          -0.0020904944442179385,  
343.     -0.001760882323666165                          -0.0018774892751594052,  
344.     -0.002194719491749201                          -0.002340057037031329,  
345.     -0.0021643437150847115                          -0.002307669610956964,  
346.     5.0396365826545025E-5                          5.3732573945808326E-5,  
347.     4.3172722216085614E-5                          4.603206704700824E-5,  
348.     5.071963954862907E-5                          5.4076743083442125E-5,  
349.     4.692175556991986E-5                          5.0028869935658804E-5,  
350.     -7.787811319344655E-5                          -8.303580045776471E-5,  
351.     3.4624457566522684E-6                          3.6903813338540203E-6,  
352.     5.345479865670859E-6                          5.697664562376303E-6,  
353.     7.026626863441506E-6                          7.491784970170556E-6,  
354.     3.131464646266569E-5                          2.9736213491560193E-5,  
355.     2.2423379197653436E-5                          2.1294077612310502E-5,  
356.     2.9681864015046032E-5                          2.8186342149183474E-5,  
357.     2.5265135061670028E-5                          2.3991919562149633E-5,  
358.     4.115918592282433E-6                          3.907985046680551E-6,  
359.     3.568500249737989E-6                          3.3884006711559778E-6,  
360.     5.474062070105524E-6                          5.198064201294983E-6,  
361.     5.037658074269638E-6                          4.782840790085174E-6,  
362.     6.756240670495137E-6                          6.4148686362841545E-6,  
363.     9.155513578985862E-6                          8.693046282814976E-6,  
364.     1.0791927642420961E-5                          1.0247358517290195E-5,  
365.     9.555937709531442E-6                          9.07496300328603E-6,  
366.     -0.0013367334531092104                          -0.00126941124278801,  
367.     -0.0012005309634176072                          -0.00114006803997313,  
368.     -0.001496311633349436                          -0.0014209522447572454,  
369.     -0.0014756020947655894                          -0.0014012857540990353,  
370.     3.4359137351394385E-5                          3.26272342476841E-5,  
371.     2.943421550596709E-5                          2.795097486796294E-5,  
372.     3.4579538287791506E-5                          3.283817662236288E-5,  
373.     3.19902242543499E-5                          3.0377922399793533E-5,  
374.     -5.309559020765036E-5                          -5.042188888637611E-5,  
375.     2.360619607652448E-6                          2.240430063693566E-6,  
376.     3.6444309803179647E-6                          3.4594549447319878E-6,  
377.     4.790600146624415E-6                          4.5496939549138915E-6,  
378.     -3.2645273744025694E-4                          -3.2770008928650896E-4,  
379.     -2.337619723876563E-4                          -2.3465451803872384E-4,  
380.     -3.0943110827049027E-4                          -3.1061153649147855E-4,  
381.     -2.633870547608886E-4                          -2.643929519763333E-4,  
382.     -4.29081290486161E-5                          -4.307221246335757E-5,  
383.     -3.720133569038032E-5                          -3.7343461656291765E-5,  
384.     -5.7066668462451664E-5                          -5.728528762460883E-5,  
385.     -5.251719097624268E-5                          -5.271560965525168E-5,  
386.     -7.043327997708395E-5                          -7.070344310022847E-5,  
387.     -9.544551218532104E-5                          -9.581002657910176E-5,  
388.     -1.1250500066560858E-4                          -1.1293410651092017E-4,  
389.     -9.961990239309767E-5                          -1.0000222872008635E-4,  
390.     0.013935341582595717                          0.013988514790952422,  
391.     0.01251544129219923                          0.012563194928816301,  
392.     0.015598931616647846                          0.015658452312550253,  
393.     0.01538303629846561                          0.015441730116805275,  
394.     -3.58191316571985E-4                          -3.5955904920115245E-4,  
395.     -3.068493919541906E-4                          -3.0802027595200343E-4,  
396.     -3.604889790765583E-4                          -3.6186387220027427E-4,  
397.     -3.334955830209054E-4                          -3.3476998950732195E-4,  
398.     5.535173705364596E-4                          5.556288762420536E-4,  
399.     -2.460927457354683E-5                          -2.4702462297909733E-5,  
400.     -3.799290761130954E-5                          -3.813838134192338E-5,  
401.     -4.99416314251471E-5                          -5.013323089997357E-5,  


Squared Distance between CNN and FiniteDifferencing: 0.0020681884372750377
